PassengerId,Prediction,RunDate
892,0,2024-08-27
893,1,2024-08-27
894,0,2024-08-27
895,0,2024-08-27
896,1,2024-08-27
897,0,2024-08-27
898,1,2024-08-27
899,0,2024-08-27
900,1,2024-08-27
901,0,2024-08-27
902,0,2024-08-27
903,0,2024-08-27
904,1,2024-08-27
905,0,2024-08-27
906,1,2024-08-27
907,1,2024-08-27
908,0,2024-08-27
909,0,2024-08-27
910,1,2024-08-27
911,1,2024-08-27
912,0,2024-08-27
913,1,2024-08-27
914,1,2024-08-27
915,0,2024-08-27
916,1,2024-08-27
917,0,2024-08-27
918,1,2024-08-27
919,0,2024-08-27
920,0,2024-08-27
921,0,2024-08-27
922,0,2024-08-27
923,0,2024-08-27
924,1,2024-08-27
925,1,2024-08-27
926,0,2024-08-27
927,0,2024-08-27
928,1,2024-08-27
929,1,2024-08-27
930,0,2024-08-27
931,0,2024-08-27
932,0,2024-08-27
933,0,2024-08-27
934,0,2024-08-27
935,1,2024-08-27
936,1,2024-08-27
937,0,2024-08-27
938,0,2024-08-27
939,0,2024-08-27
940,1,2024-08-27
941,1,2024-08-27
942,0,2024-08-27
943,0,2024-08-27
944,1,2024-08-27
945,1,2024-08-27
946,0,2024-08-27
947,1,2024-08-27
948,0,2024-08-27
949,0,2024-08-27
950,0,2024-08-27
951,1,2024-08-27
952,0,2024-08-27
953,0,2024-08-27
954,0,2024-08-27
955,1,2024-08-27
956,1,2024-08-27
957,1,2024-08-27
958,1,2024-08-27
959,0,2024-08-27
960,0,2024-08-27
961,1,2024-08-27
962,1,2024-08-27
963,0,2024-08-27
964,1,2024-08-27
965,0,2024-08-27
966,1,2024-08-27
967,0,2024-08-27
968,0,2024-08-27
969,1,2024-08-27
970,0,2024-08-27
971,1,2024-08-27
972,1,2024-08-27
973,1,2024-08-27
974,0,2024-08-27
975,0,2024-08-27
976,0,2024-08-27
977,0,2024-08-27
978,1,2024-08-27
979,1,2024-08-27
980,1,2024-08-27
981,1,2024-08-27
982,1,2024-08-27
983,0,2024-08-27
984,1,2024-08-27
985,0,2024-08-27
986,0,2024-08-27
987,0,2024-08-27
988,1,2024-08-27
989,0,2024-08-27
990,1,2024-08-27
991,0,2024-08-27
992,1,2024-08-27
993,0,2024-08-27
994,0,2024-08-27
995,0,2024-08-27
996,1,2024-08-27
997,0,2024-08-27
998,0,2024-08-27
999,0,2024-08-27
1000,0,2024-08-27
1001,0,2024-08-27
1002,0,2024-08-27
1003,1,2024-08-27
1004,1,2024-08-27
1005,1,2024-08-27
1006,1,2024-08-27
1007,0,2024-08-27
1008,0,2024-08-27
1009,1,2024-08-27
1010,0,2024-08-27
1011,1,2024-08-27
1012,1,2024-08-27
1013,0,2024-08-27
1014,1,2024-08-27
1015,0,2024-08-27
1016,0,2024-08-27
1017,1,2024-08-27
1018,0,2024-08-27
1019,1,2024-08-27
1020,0,2024-08-27
1021,0,2024-08-27
1022,0,2024-08-27
1023,1,2024-08-27
1024,1,2024-08-27
1025,0,2024-08-27
1026,0,2024-08-27
1027,0,2024-08-27
1028,0,2024-08-27
1029,0,2024-08-27
1030,1,2024-08-27
1031,0,2024-08-27
1032,1,2024-08-27
1033,1,2024-08-27
1034,1,2024-08-27
1035,0,2024-08-27
1036,0,2024-08-27
1037,0,2024-08-27
1038,0,2024-08-27
1039,0,2024-08-27
1040,0,2024-08-27
1041,0,2024-08-27
1042,1,2024-08-27
1043,0,2024-08-27
1045,1,2024-08-27
1046,1,2024-08-27
1047,0,2024-08-27
1048,1,2024-08-27
1049,1,2024-08-27
1050,0,2024-08-27
1051,1,2024-08-27
1052,1,2024-08-27
1053,1,2024-08-27
1054,1,2024-08-27
1055,0,2024-08-27
1056,0,2024-08-27
1057,1,2024-08-27
1058,0,2024-08-27
1059,0,2024-08-27
1060,1,2024-08-27
1061,1,2024-08-27
1062,0,2024-08-27
1063,0,2024-08-27
1064,0,2024-08-27
1065,0,2024-08-27
1066,0,2024-08-27
1067,1,2024-08-27
1068,1,2024-08-27
1069,0,2024-08-27
1070,1,2024-08-27
1071,1,2024-08-27
1072,0,2024-08-27
1073,0,2024-08-27
1074,1,2024-08-27
1075,0,2024-08-27
1076,1,2024-08-27
1077,0,2024-08-27
1078,1,2024-08-27
1079,0,2024-08-27
1080,1,2024-08-27
1081,0,2024-08-27
1082,0,2024-08-27
1083,0,2024-08-27
1084,1,2024-08-27
1085,0,2024-08-27
1086,1,2024-08-27
1087,0,2024-08-27
1088,1,2024-08-27
1089,1,2024-08-27
1090,0,2024-08-27
1091,1,2024-08-27
1092,1,2024-08-27
1093,1,2024-08-27
1094,1,2024-08-27
1095,1,2024-08-27
1096,0,2024-08-27
1097,0,2024-08-27
1098,1,2024-08-27
1099,0,2024-08-27
1100,1,2024-08-27
1101,0,2024-08-27
1102,0,2024-08-27
1103,0,2024-08-27
1104,0,2024-08-27
1105,1,2024-08-27
1106,1,2024-08-27
1107,0,2024-08-27
1108,1,2024-08-27
1109,0,2024-08-27
1110,1,2024-08-27
1111,0,2024-08-27
1112,1,2024-08-27
1113,0,2024-08-27
1114,1,2024-08-27
1115,0,2024-08-27
1116,1,2024-08-27
1117,1,2024-08-27
1118,0,2024-08-27
1119,1,2024-08-27
1120,0,2024-08-27
1121,0,2024-08-27
1122,0,2024-08-27
1123,1,2024-08-27
1124,0,2024-08-27
1125,0,2024-08-27
1126,0,2024-08-27
1127,0,2024-08-27
1128,0,2024-08-27
1129,0,2024-08-27
1130,1,2024-08-27
1131,1,2024-08-27
1132,1,2024-08-27
1133,1,2024-08-27
1134,0,2024-08-27
1135,0,2024-08-27
1136,1,2024-08-27
1137,0,2024-08-27
1138,1,2024-08-27
1139,0,2024-08-27
1140,1,2024-08-27
1141,1,2024-08-27
1142,1,2024-08-27
1143,0,2024-08-27
1144,0,2024-08-27
1145,0,2024-08-27
1146,0,2024-08-27
1147,0,2024-08-27
1148,0,2024-08-27
1149,0,2024-08-27
1150,1,2024-08-27
1151,0,2024-08-27
1152,0,2024-08-27
1153,0,2024-08-27
1154,1,2024-08-27
1155,1,2024-08-27
1156,0,2024-08-27
1157,0,2024-08-27
1158,0,2024-08-27
1159,0,2024-08-27
1160,1,2024-08-27
1161,0,2024-08-27
1162,0,2024-08-27
1163,0,2024-08-27
1164,1,2024-08-27
1165,1,2024-08-27
1166,0,2024-08-27
1167,1,2024-08-27
1168,0,2024-08-27
1169,0,2024-08-27
1170,0,2024-08-27
1171,0,2024-08-27
1172,1,2024-08-27
1173,1,2024-08-27
1174,1,2024-08-27
1175,1,2024-08-27
1176,1,2024-08-27
1177,0,2024-08-27
1178,0,2024-08-27
1179,0,2024-08-27
1180,0,2024-08-27
1181,0,2024-08-27
1182,0,2024-08-27
1183,1,2024-08-27
1184,0,2024-08-27
1185,0,2024-08-27
1186,0,2024-08-27
1187,0,2024-08-27
1188,1,2024-08-27
1189,0,2024-08-27
1190,0,2024-08-27
1191,0,2024-08-27
1192,0,2024-08-27
1193,0,2024-08-27
1194,0,2024-08-27
1195,0,2024-08-27
1196,1,2024-08-27
1197,1,2024-08-27
1198,0,2024-08-27
1199,1,2024-08-27
1200,0,2024-08-27
1201,1,2024-08-27
1202,0,2024-08-27
1203,0,2024-08-27
1204,0,2024-08-27
1205,1,2024-08-27
1206,1,2024-08-27
1207,1,2024-08-27
1208,0,2024-08-27
1209,0,2024-08-27
1210,0,2024-08-27
1211,0,2024-08-27
1212,0,2024-08-27
1213,0,2024-08-27
1214,0,2024-08-27
1215,0,2024-08-27
1216,1,2024-08-27
1217,0,2024-08-27
1218,1,2024-08-27
1219,0,2024-08-27
1220,0,2024-08-27
1221,0,2024-08-27
1222,1,2024-08-27
1223,0,2024-08-27
1224,0,2024-08-27
1225,1,2024-08-27
1226,0,2024-08-27
1227,0,2024-08-27
1228,0,2024-08-27
1229,0,2024-08-27
1230,0,2024-08-27
1231,1,2024-08-27
1232,0,2024-08-27
1233,0,2024-08-27
1234,0,2024-08-27
1235,1,2024-08-27
1236,1,2024-08-27
1237,1,2024-08-27
1238,0,2024-08-27
1239,1,2024-08-27
1240,0,2024-08-27
1241,1,2024-08-27
1242,1,2024-08-27
1243,0,2024-08-27
1244,0,2024-08-27
1245,0,2024-08-27
1246,1,2024-08-27
1247,0,2024-08-27
1248,1,2024-08-27
1249,0,2024-08-27
1250,0,2024-08-27
1251,1,2024-08-27
1252,1,2024-08-27
1253,1,2024-08-27
1254,1,2024-08-27
1255,0,2024-08-27
1256,1,2024-08-27
1257,1,2024-08-27
1258,0,2024-08-27
1259,1,2024-08-27
1260,1,2024-08-27
1261,0,2024-08-27
1262,0,2024-08-27
1263,1,2024-08-27
1264,0,2024-08-27
1265,0,2024-08-27
1266,1,2024-08-27
1267,1,2024-08-27
1268,1,2024-08-27
1269,0,2024-08-27
1270,0,2024-08-27
1271,1,2024-08-27
1272,0,2024-08-27
1273,0,2024-08-27
1274,1,2024-08-27
1275,1,2024-08-27
1276,0,2024-08-27
1277,1,2024-08-27
1278,0,2024-08-27
1279,0,2024-08-27
1280,0,2024-08-27
1281,1,2024-08-27
1282,0,2024-08-27
1283,1,2024-08-27
1284,1,2024-08-27
1285,0,2024-08-27
1286,0,2024-08-27
1287,1,2024-08-27
1288,0,2024-08-27
1289,1,2024-08-27
1290,0,2024-08-27
1291,0,2024-08-27
1292,1,2024-08-27
1293,0,2024-08-27
1294,1,2024-08-27
1295,0,2024-08-27
1296,0,2024-08-27
1297,0,2024-08-27
1298,0,2024-08-27
1299,0,2024-08-27
1300,1,2024-08-27
1301,1,2024-08-27
1302,1,2024-08-27
1303,1,2024-08-27
1304,1,2024-08-27
1305,0,2024-08-27
1306,1,2024-08-27
1307,0,2024-08-27
1308,0,2024-08-27
1309,1,2024-08-27
